Region,Year,Source,Sector,Subsector,TPM,PM10,PM2.5,SOX,NOX,VOC,CO,NH3,Pb,Cd,Hg,D/F,HCB,PAH
Canada,1991,Industrial Sources,Wood Industry,Other Wood Products,5884,3196,1944,395,861,5622,25127,213,83.6,14.1,,,6.427,3.5
Canada,1991,Industrial Sources,Upstream Petroleum Industry,all subsectors,10933,9644,6481,395555,279788,468659,272080,355,150.7,26.7,8.9,,1.31,2.4
Canada,1991,Industrial Sources,Upstream Petroleum Industry,Crude Oil and Natural Gas Production and Processing,5495,5495,5495,245527,222460,438225,243697,170,,,,,,
Canada,1991,Industrial Sources,Upstream Petroleum Industry,Petroleum Liquids Storage,,,,,204,,,,,,,,,
Canada,1991,Industrial Sources,Upstream Petroleum Industry,Oil Sands In-Situ Extraction and Processing ,2856,2081,424,3730,13139,4211,10191,160,,5.6,1.8,,,
Canada,1991,Industrial Sources,Upstream Petroleum Industry,Oil Sands Mining Extraction and Processing ,10,11,11,,1587,1029,123,,9.5,11.8,,,1.31,0.3
Canada,1991,Industrial Sources,Upstream Petroleum Industry,Bitumen and Heavy Oil Upgrading ,2571,2058,552,146298,42398,25194,18070,24,141.2,9.2,7.2,,,2.1
Canada,1991,Industrial Sources,Downstream Petroleum Industry,all subsectors,9822,7765,5069,139915,32868,112187,19496,343,202.3,111.6,113.5,,,150.4
Canada,1991,Industrial Sources,Downstream Petroleum Industry,Petroleum Refining,7477,5881,3751,131131,31299,66443,19015,335,200.6,111.6,105.1,,,149.7
Canada,1991,Industrial Sources,Downstream Petroleum Industry,Refined Petroleum Products Bulk Storage and Distribution,361,248,144,4489,619,39711,159,,1.7,,7.5,,,0.7
Canada,1991,Industrial Sources,Downstream Petroleum Industry,Other Downstream Petroleum Industry,1983,1636,1175,4295,950,6032,323,8,,,0.8,,,
Canada,1991,Industrial Sources,Other Industries,all subsectors,22656,15050,10694,41939,50634,74456,44027,980,32535.6,552.4,569.7,5.75,609.7,1
Canada,1991,Industrial Sources,Other Industries,Metal Fabrication,1773,1047,773,2179,6491,8824,7360,92,28577.1,468.9,16.1,5.372,598.313,1
Canada,1991,Industrial Sources,Other Industries,Glass Manufacture,1246,1013,898,2184,6447,1809,491,88,22.3,1.3,27.5,,,
Canada,1991,Industrial Sources,Other Industries,Vehicle Manufacture ( Engines; Parts; Assembly; Painting) ,3224,2376,1451,1095,2434,20932,3719,68,942.1,0.7,,0.378,11.387,
Canada,1991,Industrial Sources,Other Industries,Electronics,257,172,124,1586,139,1201,25,30,2049.5,,378.1,,,
Canada,1991,Industrial Sources,Other Industries,Plastics Manufacture,593,318,207,1380,1044,14225,261,36,78.3,5.2,,,,
Canada,1991,Industrial Sources,Other Industries,Food Preparation,4305,2385,1537,3806,2685,11393,1112,179,,,0.1,,,
Canada,1991,Industrial Sources,Other Industries,Textiles ,26,23,15,364,114,905,44,13,1.2,,,,,
Canada,1991,Industrial Sources,Other Industries,Abrasives Manufacture,1135,545,378,2767,174,1022,396,1,,,,,,
Canada,1991,Industrial Sources,Other Industries,Bakeries,1,1,1,,4,3438,6,,,,,,,
Canada,1991,Industrial Sources,Other Industries,Other (Other Industries),10096,7170,5312,26578,31102,10707,30614,474,865.1,76.2,147.8,,,
Canada,1991,Industrial Sources,Petroleum Product Transportation and Distribution,all subsectors,598,604,589,404,25354,1836,31447,1,,,,,,
Canada,1991,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Transmission,573,579,565,22,24274,1649,22872,1,,,,,,
Canada,1991,Industrial Sources,Petroleum Product Transportation and Distribution,Natural Gas Distribution,13,13,13,382,571,181,371,,,,,,,
